Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
90.368	1.1421e-06	21.668	0.046151	-6.5907	-6.5907	-49.754	48.264	69.935	2008.7	-0.55899	1291.7	0.25544	0.031663	1.5201e-06	6.5787e+05	10.542	11.293	148.15	26.809	35.124	180.93	249.88	2.8542	0.0027280
90.726	1.2546e-06	21.655	0.046179	-6.5657	-6.5657	-49.477	48.168	69.857	2006.1	-0.55953	1272.5	0.25516	0.031603	1.6632e-06	6.0125e+05	10.552	11.306	147.51	26.830	35.145	181.28	247.17	2.8655	0.0027486
91.085	1.3771e-06	21.642	0.046207	-6.5407	-6.5407	-49.202	48.075	69.783	2003.4	-0.56005	1253.6	0.25489	0.031543	1.8184e-06	5.4993e+05	10.561	11.319	146.87	26.851	35.166	181.62	244.54	2.8767	0.0027692
91.443	1.5104e-06	21.628	0.046236	-6.5157	-6.5157	-48.928	47.985	69.711	2000.8	-0.56054	1235.2	0.25461	0.031483	1.9865e-06	5.0339e+05	10.571	11.331	146.24	26.872	35.187	181.96	241.97	2.8880	0.0027899
91.801	1.6552e-06	21.615	0.046264	-6.4907	-6.4907	-48.656	47.896	69.642	1998.2	-0.56101	1217.1	0.25433	0.031423	2.1686e-06	4.6114e+05	10.581	11.344	145.62	26.894	35.208	182.30	239.48	2.8993	0.0028105
92.159	1.8125e-06	21.602	0.046292	-6.4658	-6.4658	-48.385	47.809	69.575	1995.6	-0.56146	1199.4	0.25404	0.031363	2.3654e-06	4.2275e+05	10.590	11.356	145.00	26.915	35.229	182.63	237.05	2.9105	0.0028312
92.518	1.9833e-06	21.589	0.046320	-6.4409	-6.4409	-48.115	47.725	69.511	1992.9	-0.56189	1182.1	0.25376	0.031303	2.5783e-06	3.8786e+05	10.600	11.369	144.39	26.936	35.251	182.97	234.69	2.9218	0.0028520
92.876	2.1685e-06	21.576	0.046348	-6.4160	-6.4160	-47.847	47.642	69.449	1990.3	-0.56229	1165.1	0.25348	0.031243	2.8082e-06	3.5610e+05	10.610	11.382	143.78	26.957	35.272	183.31	232.40	2.9331	0.0028727
93.234	2.3692e-06	21.563	0.046376	-6.3911	-6.3911	-47.579	47.561	69.390	1987.7	-0.56268	1148.5	0.25320	0.031183	3.0563e-06	3.2719e+05	10.619	11.394	143.18	26.978	35.293	183.65	230.17	2.9443	0.0028935
93.592	2.5866e-06	21.550	0.046404	-6.3663	-6.3663	-47.313	47.482	69.333	1985.1	-0.56304	1132.2	0.25291	0.031123	3.3240e-06	3.0084e+05	10.629	11.407	142.59	27.000	35.314	183.98	228.01	2.9556	0.0029143
93.951	2.8219e-06	21.537	0.046432	-6.3414	-6.3414	-47.049	47.404	69.279	1982.4	-0.56338	1116.2	0.25263	0.031063	3.6126e-06	2.7681e+05	10.639	11.420	142.00	27.021	35.336	184.32	225.92	2.9668	0.0029351
94.309	3.0764e-06	21.524	0.046461	-6.3166	-6.3166	-46.785	47.329	69.226	1979.8	-0.56370	1100.6	0.25234	0.031003	3.9234e-06	2.5488e+05	10.648	11.432	141.42	27.042	35.357	184.65	223.88	2.9781	0.0029560
94.667	3.3515e-06	21.510	0.046489	-6.2918	-6.2918	-46.523	47.255	69.176	1977.2	-0.56401	1085.3	0.25205	0.030943	4.2580e-06	2.3485e+05	10.658	11.445	140.84	27.064	35.378	184.98	221.91	2.9894	0.0029768
95.025	3.6486e-06	21.497	0.046517	-6.2671	-6.2671	-46.261	47.183	69.127	1974.6	-0.56429	1070.3	0.25176	0.030883	4.6180e-06	2.1655e+05	10.668	11.458	140.26	27.085	35.400	185.31	219.99	3.0006	0.0029977
95.384	3.9692e-06	21.484	0.046546	-6.2423	-6.2423	-46.001	47.112	69.081	1972.0	-0.56456	1055.6	0.25148	0.030823	5.0049e-06	1.9980e+05	10.677	11.470	139.70	27.106	35.421	185.65	218.14	3.0119	0.0030187
95.742	4.3151e-06	21.471	0.046574	-6.2176	-6.2176	-45.742	47.043	69.037	1969.4	-0.56481	1041.2	0.25119	0.030763	5.4207e-06	1.8448e+05	10.687	11.483	139.14	27.128	35.443	185.98	216.34	3.0231	0.0030396
96.100	4.6879e-06	21.458	0.046602	-6.1928	-6.1928	-45.485	46.975	68.994	1966.8	-0.56504	1027.0	0.25090	0.030703	5.8671e-06	1.7044e+05	10.697	11.496	138.58	27.149	35.464	186.31	214.61	3.0344	0.0030606
96.458	5.0895e-06	21.445	0.046631	-6.1681	-6.1681	-45.228	46.909	68.953	1964.1	-0.56526	1013.2	0.25060	0.030643	6.3460e-06	1.5758e+05	10.706	11.508	138.03	27.171	35.486	186.64	212.92	3.0457	0.0030816
96.817	5.5218e-06	21.432	0.046659	-6.1434	-6.1434	-44.972	46.844	68.914	1961.5	-0.56546	999.61	0.25031	0.030583	6.8597e-06	1.4578e+05	10.716	11.521	137.48	27.192	35.507	186.97	211.29	3.0569	0.0031027
97.175	5.9869e-06	21.419	0.046688	-6.1187	-6.1187	-44.718	46.781	68.877	1958.9	-0.56564	986.30	0.25002	0.030523	7.4101e-06	1.3495e+05	10.726	11.534	136.94	27.214	35.529	187.29	209.72	3.0682	0.0031237
97.533	6.4870e-06	21.406	0.046716	-6.0941	-6.0941	-44.465	46.718	68.842	1956.3	-0.56581	973.25	0.24972	0.030463	7.9996e-06	1.2501e+05	10.736	11.547	136.40	27.235	35.550	187.62	208.20	3.0794	0.0031448
97.891	7.0244e-06	21.393	0.046745	-6.0694	-6.0694	-44.212	46.658	68.808	1953.7	-0.56596	960.46	0.24943	0.030403	8.6306e-06	1.1587e+05	10.745	11.559	135.87	27.257	35.572	187.95	206.72	3.0907	0.0031659
98.250	7.6015e-06	21.380	0.046773	-6.0448	-6.0448	-43.961	46.598	68.776	1951.1	-0.56609	947.91	0.24913	0.030343	9.3055e-06	1.0746e+05	10.755	11.572	135.35	27.278	35.593	188.28	205.30	3.1019	0.0031871
