Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
273.1600	0.0006116544	55.49696	0.01801901	-7.342570e-13	1.102140e-05	-2.628934e-12	75.97816	76.02284	1402.272	-0.2414213	1791.358	0.5555985	0.07564627	0.0002694701	3710.987	42.78481	45.05466	164.9387	25.55256	33.94711	408.9995	592.6468	8.945781	0.01676058
273.7832	0.0006399175	55.49911	0.01801831	0.04736751	0.04737904	0.1732082	75.95341	75.98475	1405.392	-0.2408137	1753.123	0.5571847	0.07555908	0.0002812844	3555.121	42.80027	45.07525	164.6386	25.56185	33.95824	409.4515	580.9745	8.963621	0.01680058
274.4065	0.0006693312	55.50088	0.01801773	0.09471183	0.09472389	0.3459380	75.92791	75.94842	1408.466	-0.2402139	1716.177	0.5587493	0.07547166	0.0002935505	3406.569	42.81572	45.09585	164.3403	25.57118	33.96944	409.9028	569.5464	8.981520	0.01684067
275.0297	0.0006999364	55.50228	0.01801728	0.1420340	0.1420466	0.5181954	75.90169	75.91376	1411.495	-0.2396218	1680.462	0.5602927	0.07538401	0.0003062828	3264.956	42.83117	45.11643	164.0438	25.58055	33.98072	410.3535	558.3587	8.999476	0.01688084
275.6529	0.0007317743	55.50331	0.01801694	0.1893351	0.1893483	0.6899863	75.87475	75.88069	1414.481	-0.2390371	1645.923	0.5618158	0.07529613	0.0003194964	3129.925	42.84662	45.13702	163.7489	25.58997	33.99206	410.8035	547.4071	9.017489	0.01692110
276.2761	0.0007648871	55.50397	0.01801673	0.2366161	0.2366299	0.8613163	75.84714	75.84913	1417.422	-0.2384596	1612.507	0.5633188	0.07520802	0.0003332066	3001.141	42.86206	45.15760	163.4558	25.59943	34.00347	411.2529	536.6877	9.035560	0.01696145
276.8994	0.0007993191	55.50429	0.01801663	0.2838778	0.2838922	1.032191	75.81885	75.81901	1420.320	-0.2378891	1580.164	0.5648025	0.07511968	0.0003474289	2878.287	42.87750	45.17817	163.1643	25.60894	34.01495	411.7016	526.1965	9.053686	0.01700188
277.5226	0.0008351148	55.50425	0.01801664	0.3311212	0.3311363	1.202615	75.78991	75.79027	1423.176	-0.2373253	1548.849	0.5662673	0.07503111	0.0003621795	2761.062	42.89293	45.19874	162.8745	25.61848	34.02650	412.1497	515.9294	9.071868	0.01704240
278.1458	0.0008723203	55.50388	0.01801676	0.3783471	0.3783629	1.372594	75.76034	75.76284	1425.989	-0.2367681	1518.517	0.5677136	0.07494231	0.0003774749	2649.183	42.90836	45.21930	162.5864	25.62806	34.03811	412.5971	505.8827	9.090104	0.01708301
278.7690	0.0009109830	55.50318	0.01801699	0.4255563	0.4255728	1.542132	75.73015	75.73667	1428.761	-0.2362173	1489.127	0.5691421	0.07485328	0.0003933319	2542.382	42.92379	45.23986	162.2999	25.63768	34.04978	413.0439	496.0522	9.108394	0.01712370
