Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
13.957	0.0073578	38.199	0.026179	-0.10890	-0.10871	-6.1934	10.405	14.154	1269.2	-1.5758	25.587	0.097561	0.0030324	0.064415	15.524	0.69178	0.80600	59.344	12.586	21.296	307.14	29.221	0.64525	0.010601
14.057	0.0077902	38.158	0.026207	-0.10749	-0.10728	-6.0923	10.410	14.202	1267.1	-1.5687	25.263	0.097728	0.0030147	0.067760	14.758	0.69290	0.80786	59.010	12.593	21.321	308.12	28.942	0.65078	0.010696
14.157	0.0082418	38.118	0.026235	-0.10606	-0.10585	-5.9916	10.418	14.253	1265.0	-1.5613	24.947	0.097893	0.0029971	0.071231	14.039	0.69401	0.80972	58.681	12.601	21.346	309.09	28.666	0.65630	0.010790
14.257	0.0087134	38.077	0.026263	-0.10464	-0.10441	-5.8912	10.428	14.308	1262.9	-1.5534	24.639	0.098055	0.0029795	0.074830	13.364	0.69513	0.81157	58.356	12.608	21.372	310.05	28.395	0.66182	0.010885
14.357	0.0092055	38.036	0.026291	-0.10321	-0.10296	-5.7911	10.440	14.366	1260.8	-1.5453	24.337	0.098216	0.0029619	0.078561	12.729	0.69623	0.81341	58.037	12.616	21.398	311.00	28.127	0.66733	0.010981
14.457	0.0097186	37.995	0.026319	-0.10177	-0.10151	-5.6914	10.453	14.427	1258.7	-1.5368	24.043	0.098374	0.0029443	0.082427	12.132	0.69734	0.81524	57.721	12.623	21.424	311.95	27.865	0.67283	0.011076
14.557	0.010253	37.953	0.026348	-0.10033	-0.10006	-5.5919	10.468	14.490	1256.5	-1.5282	23.755	0.098530	0.0029267	0.086430	11.570	0.69844	0.81707	57.410	12.631	21.451	312.89	27.606	0.67833	0.011172
14.657	0.010810	37.912	0.026377	-0.098877	-0.098592	-5.4926	10.484	14.556	1254.4	-1.5193	23.473	0.098684	0.0029090	0.090573	11.041	0.69953	0.81889	57.104	12.638	21.479	313.82	27.352	0.68383	0.011268
14.757	0.011390	37.870	0.026406	-0.097421	-0.097120	-5.3936	10.501	14.623	1252.3	-1.5102	23.198	0.098836	0.0028914	0.094860	10.542	0.70062	0.82070	56.802	12.645	21.506	314.75	27.102	0.68932	0.011364
14.857	0.011993	37.829	0.026435	-0.095958	-0.095641	-5.2947	10.519	14.692	1250.1	-1.5010	22.928	0.098985	0.0028738	0.099292	10.071	0.70171	0.82250	56.504	12.652	21.535	315.67	26.857	0.69481	0.011461
14.957	0.012621	37.787	0.026464	-0.094488	-0.094154	-5.1961	10.537	14.763	1248.0	-1.4916	22.664	0.099132	0.0028562	0.10387	9.6272	0.70279	0.82429	56.210	12.659	21.563	316.58	26.616	0.70029	0.011558
15.057	0.013273	37.744	0.026494	-0.093012	-0.092660	-5.0977	10.556	14.835	1245.9	-1.4821	22.405	0.099277	0.0028387	0.10861	9.2076	0.70387	0.82608	55.920	12.666	21.593	317.49	26.380	0.70577	0.011655
15.157	0.013950	37.702	0.026524	-0.091528	-0.091158	-4.9995	10.576	14.908	1243.7	-1.4726	22.152	0.099420	0.0028211	0.11349	8.8111	0.70494	0.82785	55.633	12.673	21.622	318.39	26.148	0.71124	0.011753
