Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
90.694	0.011696	28.142	0.035534	-1.1526	-1.1522	-11.389	34.776	54.029	1538.6	-0.48191	193.57	0.21119	0.017063	0.015630	63.981	6.8310	7.5793	84.885	25.243	33.851	249.13	47.921	3.5978	0.0087984
90.861	0.011949	28.128	0.035552	-1.1436	-1.1432	-11.290	34.759	54.038	1537.1	-0.48156	192.58	0.21099	0.017030	0.015940	62.734	6.8349	7.5845	84.766	25.247	33.859	249.34	47.699	3.6034	0.0088174
91.027	0.012206	28.114	0.035569	-1.1346	-1.1342	-11.192	34.741	54.047	1535.6	-0.48120	191.61	0.21079	0.016997	0.016256	61.517	6.8389	7.5898	84.648	25.251	33.867	249.55	47.479	3.6089	0.0088364
91.193	0.012468	28.100	0.035587	-1.1256	-1.1252	-11.093	34.724	54.056	1534.1	-0.48084	190.64	0.21060	0.016964	0.016576	60.329	6.8428	7.5950	84.530	25.254	33.875	249.75	47.261	3.6145	0.0088554
91.360	0.012734	28.087	0.035604	-1.1166	-1.1162	-10.994	34.707	54.065	1532.6	-0.48047	189.69	0.21040	0.016931	0.016901	59.167	6.8467	7.6002	84.413	25.258	33.883	249.96	47.044	3.6200	0.0088744
91.526	0.013005	28.073	0.035622	-1.1076	-1.1072	-10.896	34.689	54.074	1531.1	-0.48011	188.75	0.21020	0.016898	0.017232	58.033	6.8507	7.6054	84.296	25.262	33.892	250.17	46.829	3.6256	0.0088934
91.693	0.013280	28.059	0.035639	-1.0986	-1.0982	-10.798	34.672	54.084	1529.5	-0.47974	187.82	0.21000	0.016865	0.017567	56.925	6.8546	7.6106	84.180	25.265	33.900	250.38	46.616	3.6311	0.0089125
91.859	0.013561	28.045	0.035657	-1.0896	-1.0892	-10.700	34.655	54.093	1528.0	-0.47937	186.90	0.20980	0.016831	0.017907	55.843	6.8585	7.6158	84.065	25.269	33.909	250.58	46.405	3.6367	0.0089316
92.026	0.013846	28.031	0.035674	-1.0806	-1.0801	-10.602	34.639	54.103	1526.5	-0.47899	185.99	0.20960	0.016798	0.018253	54.785	6.8625	7.6210	83.950	25.273	33.917	250.79	46.195	3.6423	0.0089508
92.192	0.014136	28.017	0.035692	-1.0716	-1.0711	-10.504	34.622	54.113	1525.0	-0.47861	185.09	0.20940	0.016765	0.018604	53.751	6.8664	7.6262	83.835	25.277	33.926	251.00	45.987	3.6478	0.0089699
