Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
68.160	0.015537	30.330	0.032971	-0.81158	-0.81106	-10.820	35.351	60.430	998.20	-0.36906	291.54	0.16526	0.012446	0.027707	36.091	5.1251	5.6859	84.499	21.089	29.785	167.25	40.804	4.5061	0.0057199
68.268	0.015824	30.314	0.032988	-0.80506	-0.80454	-10.724	35.318	60.417	997.16	-0.36888	290.01	0.16506	0.012422	0.028179	35.487	5.1272	5.6888	84.391	21.093	29.794	167.37	40.657	4.5137	0.0057300
68.376	0.016115	30.299	0.033005	-0.79855	-0.79802	-10.629	35.285	60.403	996.12	-0.36869	288.49	0.16485	0.012399	0.028657	34.895	5.1293	5.6916	84.282	21.096	29.803	167.49	40.511	4.5212	0.0057400
68.483	0.016411	30.283	0.033022	-0.79204	-0.79150	-10.534	35.253	60.390	995.09	-0.36850	286.98	0.16465	0.012375	0.029141	34.316	5.1313	5.6945	84.175	21.100	29.812	167.60	40.366	4.5287	0.0057500
68.591	0.016711	30.268	0.033039	-0.78554	-0.78498	-10.439	35.220	60.378	994.05	-0.36831	285.49	0.16445	0.012351	0.029632	33.747	5.1334	5.6973	84.067	21.104	29.821	167.72	40.222	4.5363	0.0057601
68.699	0.017016	30.252	0.033056	-0.77903	-0.77847	-10.344	35.188	60.365	993.01	-0.36811	284.00	0.16425	0.012327	0.030129	33.191	5.1354	5.7002	83.960	21.107	29.830	167.84	40.079	4.5438	0.0057701
68.807	0.017325	30.237	0.033073	-0.77252	-0.77195	-10.250	35.155	60.352	991.98	-0.36791	282.53	0.16404	0.012303	0.030633	32.645	5.1375	5.7030	83.854	21.111	29.839	167.95	39.937	4.5514	0.0057802
68.915	0.017638	30.221	0.033090	-0.76602	-0.76544	-10.155	35.123	60.340	990.94	-0.36771	281.07	0.16384	0.012280	0.031143	32.110	5.1395	5.7059	83.748	21.115	29.849	168.07	39.796	4.5590	0.0057902
69.023	0.017956	30.205	0.033107	-0.75952	-0.75892	-10.061	35.091	60.328	989.90	-0.36751	279.62	0.16364	0.012256	0.031660	31.586	5.1416	5.7087	83.642	21.119	29.858	168.18	39.655	4.5665	0.0058003
69.130	0.018279	30.190	0.033124	-0.75302	-0.75241	-9.9669	35.059	60.316	988.87	-0.36730	278.18	0.16343	0.012232	0.032183	31.072	5.1436	5.7116	83.537	21.123	29.867	168.30	39.516	4.5741	0.0058104
