Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
63.151	0.012520	30.957	0.032303	-4.2230	-4.2226	67.951	32.951	56.033	995.28	-0.40419	311.59	0.17328	0.012205	0.024070	41.546	1.2945	1.8147	163.55	21.007	29.647	161.11	40.718	4.3763	0.0056209
63.256	0.012764	30.942	0.032319	-4.2171	-4.2167	68.044	32.931	56.038	994.20	-0.40387	309.79	0.17306	0.012180	0.024501	40.815	1.2966	1.8175	163.44	21.010	29.654	161.23	40.571	4.3840	0.0056319
63.361	0.013011	30.927	0.032335	-4.2112	-4.2108	68.137	32.910	56.043	993.12	-0.40355	308.01	0.17285	0.012154	0.024938	40.099	1.2986	1.8203	163.32	21.013	29.662	161.35	40.425	4.3917	0.0056430
63.466	0.013263	30.911	0.032351	-4.2054	-4.2049	68.230	32.890	56.048	992.04	-0.40323	306.25	0.17264	0.012129	0.025382	39.398	1.3006	1.8231	163.21	21.016	29.669	161.47	40.280	4.3994	0.0056541
63.571	0.013518	30.896	0.032367	-4.1995	-4.1990	68.323	32.869	56.052	990.96	-0.40290	304.50	0.17243	0.012104	0.025832	38.712	1.3026	1.8259	163.10	21.018	29.677	161.59	40.136	4.4071	0.0056652
63.676	0.013778	30.880	0.032383	-4.1936	-4.1931	68.415	32.849	56.057	989.89	-0.40258	302.76	0.17222	0.012079	0.026288	38.040	1.3046	1.8288	162.99	21.021	29.685	161.71	39.993	4.4148	0.0056763
63.781	0.014041	30.865	0.032399	-4.1877	-4.1872	68.508	32.828	56.062	988.81	-0.40225	301.04	0.17200	0.012053	0.026750	37.383	1.3067	1.8316	162.87	21.024	29.692	161.83	39.851	4.4226	0.0056874
63.886	0.014309	30.849	0.032416	-4.1818	-4.1813	68.600	32.808	56.067	987.73	-0.40192	299.33	0.17179	0.012028	0.027219	36.739	1.3087	1.8344	162.76	21.027	29.700	161.95	39.710	4.4303	0.0056984
63.992	0.014580	30.834	0.032432	-4.1759	-4.1754	68.692	32.787	56.072	986.66	-0.40159	297.63	0.17158	0.012003	0.027694	36.108	1.3107	1.8372	162.65	21.030	29.708	162.07	39.569	4.4380	0.0057096
64.097	0.014856	30.818	0.032448	-4.1700	-4.1696	68.784	32.767	56.077	985.58	-0.40126	295.95	0.17137	0.011977	0.028176	35.491	1.3127	1.8400	162.54	21.033	29.716	162.19	39.430	4.4457	0.0057207
64.202	0.015136	30.803	0.032464	-4.1641	-4.1637	68.876	32.746	56.082	984.51	-0.40092	294.29	0.17116	0.011952	0.028664	34.887	1.3147	1.8428	162.43	21.036	29.724	162.31	39.292	4.4535	0.0057318
64.307	0.015420	30.788	0.032481	-4.1583	-4.1578	68.968	32.726	56.087	983.43	-0.40059	292.64	0.17095	0.011927	0.029159	34.295	1.3167	1.8455	162.32	21.039	29.732	162.43	39.154	4.4612	0.0057429
64.412	0.015709	30.772	0.032497	-4.1524	-4.1519	69.059	32.705	56.092	982.36	-0.40025	291.00	0.17073	0.011902	0.029661	33.715	1.3187	1.8483	162.21	21.042	29.741	162.54	39.017	4.4689	0.0057540
64.517	0.016001	30.757	0.032513	-4.1465	-4.1460	69.150	32.685	56.097	981.29	-0.39991	289.37	0.17052	0.011877	0.030169	33.147	1.3207	1.8511	162.10	21.045	29.749	162.66	38.881	4.4767	0.0057651
64.622	0.016298	30.741	0.032530	-4.1406	-4.1401	69.242	32.665	56.103	980.21	-0.39957	287.76	0.17031	0.011851	0.030684	32.590	1.3227	1.8539	162.00	21.048	29.757	162.78	38.746	4.4844	0.0057763
64.727	0.016600	30.726	0.032546	-4.1347	-4.1342	69.333	32.644	56.108	979.14	-0.39923	286.16	0.17010	0.011826	0.031206	32.045	1.3247	1.8567	161.89	21.051	29.766	162.90	38.612	4.4922	0.0057874
64.832	0.016906	30.710	0.032563	-4.1288	-4.1282	69.424	32.624	56.113	978.07	-0.39888	284.58	0.16989	0.011801	0.031735	31.511	1.3267	1.8595	161.78	21.054	29.774	163.01	38.479	4.4999	0.0057986
64.937	0.017217	30.694	0.032579	-4.1229	-4.1223	69.515	32.604	56.118	977.00	-0.39854	283.00	0.16968	0.011776	0.032271	30.988	1.3287	1.8622	161.67	21.057	29.783	163.13	38.347	4.5076	0.0058097
65.042	0.017532	30.679	0.032596	-4.1170	-4.1164	69.605	32.583	56.124	975.93	-0.39819	281.44	0.16947	0.011751	0.032813	30.475	1.3307	1.8650	161.57	21.060	29.792	163.25	38.215	4.5154	0.0058209
65.147	0.017851	30.663	0.032612	-4.1111	-4.1105	69.696	32.563	56.129	974.86	-0.39784	279.89	0.16925	0.011725	0.033363	29.973	1.3327	1.8678	161.46	21.063	29.800	163.36	38.084	4.5231	0.0058320
65.252	0.018176	30.648	0.032629	-4.1052	-4.1046	69.786	32.543	56.134	973.79	-0.39749	278.36	0.16904	0.011700	0.033921	29.481	1.3347	1.8705	161.36	21.066	29.809	163.48	37.954	4.5309	0.0058432
65.357	0.018505	30.632	0.032645	-4.0993	-4.0987	69.876	32.522	56.140	972.72	-0.39713	276.84	0.16883	0.011675	0.034485	28.998	1.3367	1.8733	161.25	21.070	29.818	163.59	37.825	4.5386	0.0058544
65.463	0.018839	30.617	0.032662	-4.0934	-4.0928	69.967	32.502	56.145	971.65	-0.39678	275.33	0.16862	0.011650	0.035057	28.525	1.3387	1.8761	161.15	21.073	29.827	163.71	37.697	4.5464	0.0058655
65.568	0.019177	30.601	0.032679	-4.0875	-4.0869	70.057	32.482	56.151	970.58	-0.39642	273.83	0.16841	0.011625	0.035636	28.062	1.3407	1.8788	161.04	21.076	29.836	163.83	37.569	4.5541	0.0058767
65.673	0.019521	30.585	0.032695	-4.0816	-4.0810	70.146	32.461	56.157	969.51	-0.39606	272.34	0.16820	0.011600	0.036222	27.607	1.3426	1.8816	160.94	21.079	29.845	163.94	37.442	4.5619	0.0058879
65.778	0.019869	30.570	0.032712	-4.0757	-4.0751	70.236	32.441	56.162	968.44	-0.39570	270.87	0.16799	0.011575	0.036816	27.162	1.3446	1.8843	160.84	21.083	29.855	164.06	37.316	4.5696	0.0058991
65.883	0.020223	30.554	0.032729	-4.0699	-4.0692	70.326	32.421	56.168	967.38	-0.39533	269.41	0.16777	0.011550	0.037418	26.725	1.3466	1.8871	160.73	21.086	29.864	164.17	37.191	4.5774	0.0059103
65.988	0.020581	30.538	0.032746	-4.0640	-4.0633	70.415	32.401	56.174	966.31	-0.39497	267.95	0.16756	0.011525	0.038027	26.297	1.3486	1.8898	160.63	21.089	29.873	164.28	37.067	4.5852	0.0059215
66.093	0.020944	30.523	0.032762	-4.0581	-4.0574	70.504	32.381	56.179	965.24	-0.39460	266.52	0.16735	0.011500	0.038644	25.877	1.3506	1.8925	160.53	21.093	29.883	164.40	36.943	4.5929	0.0059327
66.198	0.021313	30.507	0.032779	-4.0522	-4.0515	70.594	32.360	56.185	964.17	-0.39423	265.09	0.16714	0.011475	0.039269	25.466	1.3525	1.8953	160.43	21.096	29.893	164.51	36.820	4.6007	0.0059440
66.303	0.021687	30.491	0.032796	-4.0463	-4.0455	70.683	32.340	56.191	963.11	-0.39386	263.67	0.16693	0.011450	0.039901	25.062	1.3545	1.8980	160.32	21.100	29.902	164.62	36.698	4.6085	0.0059552
66.408	0.022066	30.476	0.032813	-4.0404	-4.0396	70.772	32.320	56.197	962.04	-0.39349	262.27	0.16672	0.011424	0.040542	24.666	1.3565	1.9007	160.22	21.103	29.912	164.74	36.577	4.6162	0.0059664
66.513	0.022450	30.460	0.032830	-4.0345	-4.0337	70.860	32.300	56.203	960.98	-0.39312	260.87	0.16651	0.011399	0.041190	24.278	1.3584	1.9034	160.12	21.106	29.922	164.85	36.456	4.6240	0.0059776
66.618	0.022839	30.444	0.032847	-4.0286	-4.0278	70.949	32.280	56.209	959.91	-0.39274	259.49	0.16630	0.011374	0.041846	23.897	1.3604	1.9062	160.02	21.110	29.932	164.96	36.336	4.6318	0.0059889
66.723	0.023234	30.429	0.032864	-4.0227	-4.0219	71.038	32.260	56.215	958.85	-0.39236	258.12	0.16609	0.011349	0.042511	23.523	1.3623	1.9089	159.92	21.113	29.942	165.07	36.217	4.6396	0.0060001
66.828	0.023634	30.413	0.032881	-4.0168	-4.0160	71.126	32.240	56.221	957.78	-0.39198	256.75	0.16588	0.011324	0.043184	23.157	1.3643	1.9116	159.82	21.117	29.952	165.19	36.098	4.6474	0.0060114
66.933	0.024040	30.397	0.032898	-4.0109	-4.0101	71.214	32.220	56.227	956.72	-0.39160	255.40	0.16566	0.011300	0.043865	22.797	1.3663	1.9143	159.73	21.121	29.962	165.30	35.981	4.6551	0.0060227
67.039	0.024451	30.381	0.032915	-4.0049	-4.0041	71.302	32.200	56.234	955.65	-0.39121	254.06	0.16545	0.011275	0.044554	22.445	1.3682	1.9170	159.63	21.124	29.972	165.41	35.864	4.6629	0.0060339
67.144	0.024868	30.366	0.032932	-3.9990	-3.9982	71.390	32.180	56.240	954.59	-0.39082	252.73	0.16524	0.011250	0.045251	22.099	1.3702	1.9197	159.53	21.128	29.983	165.52	35.747	4.6707	0.0060452
67.249	0.025291	30.350	0.032949	-3.9931	-3.9923	71.478	32.160	56.246	953.53	-0.39044	251.41	0.16503	0.011225	0.045957	21.759	1.3721	1.9224	159.43	21.131	29.993	165.63	35.632	4.6785	0.0060565
67.354	0.025719	30.334	0.032966	-3.9872	-3.9864	71.566	32.140	56.253	952.46	-0.39004	250.10	0.16482	0.011200	0.046672	21.426	1.3740	1.9251	159.33	21.135	30.004	165.74	35.517	4.6863	0.0060678
67.459	0.026153	30.318	0.032984	-3.9813	-3.9805	71.654	32.120	56.259	951.40	-0.38965	248.80	0.16461	0.011175	0.047395	21.099	1.3760	1.9278	159.24	21.139	30.014	165.85	35.403	4.6941	0.0060791
67.564	0.026593	30.302	0.033001	-3.9754	-3.9745	71.741	32.100	56.266	950.34	-0.38926	247.52	0.16440	0.011150	0.048127	20.779	1.3779	1.9305	159.14	21.142	30.025	165.96	35.289	4.7019	0.0060904
67.669	0.027038	30.287	0.033018	-3.9695	-3.9686	71.828	32.080	56.272	949.27	-0.38886	246.24	0.16419	0.011125	0.048867	20.464	1.3799	1.9332	159.04	21.146	30.036	166.07	35.176	4.7097	0.0061017
67.774	0.027490	30.271	0.033035	-3.9636	-3.9627	71.916	32.060	56.279	948.21	-0.38846	244.97	0.16398	0.011100	0.049616	20.155	1.3818	1.9359	158.95	21.150	30.047	166.18	35.064	4.7175	0.0061130
67.879	0.027947	30.255	0.033053	-3.9577	-3.9568	72.003	32.041	56.285	947.15	-0.38806	243.71	0.16377	0.011075	0.050374	19.851	1.3837	1.9385	158.85	21.154	30.058	166.29	34.953	4.7253	0.0061243
67.984	0.028411	30.239	0.033070	-3.9518	-3.9509	72.090	32.021	56.292	946.09	-0.38765	242.46	0.16356	0.011050	0.051141	19.554	1.3857	1.9412	158.76	21.158	30.069	166.40	34.842	4.7331	0.0061357
68.089	0.028880	30.223	0.033087	-3.9459	-3.9449	72.177	32.001	56.299	945.02	-0.38725	241.22	0.16335	0.011026	0.051917	19.261	1.3876	1.9439	158.66	21.161	30.080	166.50	34.732	4.7409	0.0061470
68.194	0.029356	30.207	0.033105	-3.9400	-3.9390	72.263	31.981	56.306	943.96	-0.38684	239.99	0.16314	0.011001	0.052702	18.975	1.3895	1.9465	158.57	21.165	30.091	166.61	34.622	4.7487	0.0061584
68.299	0.029838	30.191	0.033122	-3.9341	-3.9331	72.350	31.962	56.313	942.90	-0.38643	238.76	0.16292	0.010976	0.053496	18.693	1.3914	1.9492	158.47	21.169	30.102	166.72	34.513	4.7566	0.0061697
68.404	0.030326	30.175	0.033140	-3.9282	-3.9271	72.436	31.942	56.320	941.84	-0.38602	237.55	0.16271	0.010951	0.054300	18.416	1.3934	1.9519	158.38	21.173	30.114	166.83	34.405	4.7644	0.0061811
68.509	0.030820	30.160	0.033157	-3.9222	-3.9212	72.523	31.922	56.327	940.78	-0.38560	236.35	0.16250	0.010926	0.055112	18.145	1.3953	1.9545	158.29	21.177	30.125	166.94	34.297	4.7722	0.0061925
68.615	0.031321	30.144	0.033175	-3.9163	-3.9153	72.609	31.902	56.334	939.72	-0.38519	235.16	0.16229	0.010902	0.055934	17.878	1.3972	1.9572	158.20	21.181	30.137	167.04	34.190	4.7800	0.0062038
68.720	0.031828	30.128	0.033192	-3.9104	-3.9094	72.695	31.883	56.341	938.66	-0.38477	233.97	0.16208	0.010877	0.056766	17.616	1.3991	1.9598	158.10	21.185	30.149	167.15	34.084	4.7878	0.0062152
68.825	0.032342	30.112	0.033210	-3.9045	-3.9034	72.781	31.863	56.348	937.60	-0.38434	232.79	0.16187	0.010852	0.057607	17.359	1.4010	1.9624	158.01	21.189	30.161	167.25	33.978	4.7957	0.0062266
68.930	0.032862	30.096	0.033227	-3.8986	-3.8975	72.867	31.844	56.355	936.54	-0.38392	231.63	0.16166	0.010827	0.058457	17.107	1.4029	1.9651	157.92	21.193	30.172	167.36	33.873	4.8035	0.0062380
69.035	0.033388	30.080	0.033245	-3.8927	-3.8916	72.953	31.824	56.363	935.48	-0.38349	230.47	0.16145	0.010802	0.059317	16.859	1.4048	1.9677	157.83	21.197	30.184	167.47	33.769	4.8113	0.0062494
69.140	0.033922	30.064	0.033263	-3.8868	-3.8856	73.038	31.805	56.370	934.42	-0.38307	229.32	0.16124	0.010778	0.060187	16.615	1.4067	1.9703	157.74	21.201	30.197	167.57	33.665	4.8192	0.0062609
69.245	0.034462	30.048	0.033280	-3.8808	-3.8797	73.124	31.785	56.377	933.36	-0.38264	228.18	0.16103	0.010753	0.061067	16.376	1.4086	1.9730	157.65	21.205	30.209	167.68	33.561	4.8270	0.0062723
69.350	0.035009	30.032	0.033298	-3.8749	-3.8738	73.209	31.766	56.385	932.30	-0.38220	227.05	0.16082	0.010728	0.061956	16.140	1.4105	1.9756	157.55	21.209	30.221	167.78	33.459	4.8349	0.0062837
69.455	0.035562	30.016	0.033316	-3.8690	-3.8678	73.295	31.746	56.393	931.24	-0.38177	225.92	0.16061	0.010704	0.062855	15.910	1.4124	1.9782	157.46	21.214	30.233	167.89	33.357	4.8427	0.0062952
69.560	0.036123	30.000	0.033334	-3.8631	-3.8619	73.380	31.727	56.400	930.18	-0.38133	224.81	0.16040	0.010679	0.063765	15.683	1.4143	1.9808	157.37	21.218	30.246	167.99	33.255	4.8506	0.0063066
