Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
54.361	0.00014628	40.816	0.024500	-6.1954	-6.1954	66.946	38.252	53.541	1123.4	-0.37992	773.62	0.20193	0.022601	0.00032370	3089.2	1.1195	1.5714	209.82	21.241	29.631	140.32	507.90	4.0962	0.0044204
54.528	0.00015418	40.795	0.024513	-6.1865	-6.1865	67.110	38.086	53.525	1124.4	-0.37966	766.70	0.20170	0.022555	0.00034016	2939.8	1.1229	1.5762	209.47	21.255	29.648	140.53	500.69	4.1098	0.0044371
54.695	0.00016246	40.774	0.024526	-6.1776	-6.1776	67.274	37.927	53.510	1125.3	-0.37938	759.84	0.20147	0.022509	0.00035733	2798.6	1.1264	1.5810	209.13	21.270	29.665	140.74	493.46	4.1233	0.0044538
54.862	0.00017112	40.752	0.024539	-6.1686	-6.1686	67.437	37.773	53.498	1126.2	-0.37910	753.07	0.20123	0.022462	0.00037523	2665.0	1.1298	1.5859	208.78	21.285	29.683	140.94	486.23	4.1369	0.0044704
55.029	0.00018018	40.731	0.024552	-6.1597	-6.1597	67.600	37.625	53.488	1127.0	-0.37881	746.36	0.20100	0.022416	0.00039391	2538.6	1.1333	1.5907	208.44	21.300	29.701	141.15	479.00	4.1504	0.0044871
55.196	0.00018966	40.709	0.024565	-6.1508	-6.1508	67.762	37.482	53.479	1127.7	-0.37852	739.73	0.20076	0.022370	0.00041338	2419.1	1.1367	1.5955	208.10	21.315	29.719	141.35	471.77	4.1640	0.0045037
55.363	0.00019957	40.687	0.024578	-6.1418	-6.1418	67.923	37.344	53.472	1128.4	-0.37822	733.18	0.20053	0.022324	0.00043367	2305.9	1.1402	1.6003	207.77	21.330	29.737	141.55	464.56	4.1775	0.0045204
55.530	0.00020993	40.666	0.024591	-6.1329	-6.1329	68.084	37.211	53.466	1129.0	-0.37792	726.70	0.20029	0.022278	0.00045481	2198.7	1.1436	1.6052	207.43	21.346	29.756	141.76	457.37	4.1911	0.0045371
55.697	0.00022075	40.644	0.024604	-6.1240	-6.1240	68.245	37.082	53.461	1129.6	-0.37762	720.29	0.20006	0.022232	0.00047683	2097.2	1.1470	1.6100	207.10	21.362	29.775	141.96	450.20	4.2046	0.0045537
55.864	0.00023205	40.622	0.024617	-6.1150	-6.1150	68.405	36.958	53.458	1130.1	-0.37732	713.95	0.19982	0.022186	0.00049975	2001.0	1.1505	1.6148	206.77	21.378	29.794	142.16	443.07	4.2181	0.0045704
56.031	0.00024385	40.600	0.024631	-6.1061	-6.1061	68.565	36.837	53.456	1130.5	-0.37701	707.68	0.19958	0.022140	0.00052361	1909.8	1.1539	1.6196	206.45	21.394	29.813	142.36	435.96	4.2317	0.0045871
56.198	0.00025618	40.578	0.024644	-6.0972	-6.0972	68.724	36.721	53.454	1130.9	-0.37671	701.48	0.19935	0.022094	0.00054844	1823.3	1.1574	1.6245	206.12	21.410	29.833	142.57	428.89	4.2452	0.0046038
56.365	0.00026903	40.556	0.024657	-6.0883	-6.0882	68.882	36.608	53.454	1131.2	-0.37640	695.35	0.19911	0.022048	0.00057427	1741.3	1.1608	1.6293	205.80	21.427	29.852	142.77	421.86	4.2588	0.0046204
56.532	0.00028245	40.534	0.024671	-6.0793	-6.0793	69.041	36.499	53.454	1131.5	-0.37610	689.30	0.19888	0.022002	0.00060114	1663.5	1.1643	1.6341	205.48	21.443	29.872	142.97	414.88	4.2723	0.0046371
56.699	0.00029644	40.511	0.024684	-6.0704	-6.0704	69.198	36.394	53.455	1131.7	-0.37579	683.31	0.19864	0.021956	0.00062907	1589.7	1.1677	1.6389	205.17	21.460	29.893	143.17	407.95	4.2858	0.0046538
56.867	0.00031103	40.489	0.024698	-6.0615	-6.0615	69.356	36.292	53.457	1131.9	-0.37549	677.39	0.19840	0.021911	0.00065810	1519.5	1.1711	1.6437	204.85	21.477	29.913	143.37	401.07	4.2993	0.0046705
57.034	0.00032624	40.467	0.024712	-6.0525	-6.0525	69.512	36.193	53.459	1132.0	-0.37519	671.53	0.19817	0.021865	0.00068827	1452.9	1.1746	1.6486	204.54	21.495	29.934	143.57	394.24	4.3129	0.0046872
57.201	0.00034209	40.444	0.024725	-6.0436	-6.0436	69.669	36.097	53.462	1132.1	-0.37488	665.75	0.19793	0.021819	0.00071960	1389.7	1.1780	1.6534	204.23	21.512	29.955	143.76	387.48	4.3264	0.0047039
57.368	0.00035859	40.422	0.024739	-6.0347	-6.0347	69.825	36.003	53.466	1132.1	-0.37458	660.03	0.19770	0.021773	0.00075215	1329.5	1.1814	1.6582	203.92	21.529	29.975	143.96	380.77	4.3399	0.0047206
57.535	0.00037579	40.400	0.024753	-6.0257	-6.0257	69.980	35.913	53.469	1132.1	-0.37428	654.37	0.19746	0.021727	0.00078594	1272.4	1.1849	1.6630	203.62	21.547	29.997	144.16	374.13	4.3535	0.0047373
57.702	0.00039369	40.377	0.024766	-6.0168	-6.0168	70.135	35.825	53.474	1132.0	-0.37398	648.78	0.19722	0.021681	0.00082101	1218.0	1.1883	1.6678	203.31	21.565	30.018	144.36	367.55	4.3670	0.0047540
57.869	0.00041232	40.355	0.024780	-6.0079	-6.0079	70.290	35.740	53.478	1131.9	-0.37369	643.25	0.19699	0.021636	0.00085741	1166.3	1.1917	1.6726	203.01	21.582	30.039	144.56	361.04	4.3805	0.0047707
58.036	0.00043172	40.332	0.024794	-5.9989	-5.9989	70.444	35.657	53.483	1131.8	-0.37339	637.79	0.19675	0.021590	0.00089517	1117.1	1.1952	1.6774	202.71	21.600	30.061	144.75	354.60	4.3940	0.0047874
58.203	0.00045189	40.309	0.024808	-5.9900	-5.9900	70.597	35.577	53.488	1131.6	-0.37310	632.39	0.19651	0.021544	0.00093432	1070.3	1.1986	1.6823	202.42	21.618	30.083	144.95	348.23	4.4075	0.0048041
58.370	0.00047287	40.287	0.024822	-5.9811	-5.9811	70.751	35.499	53.493	1131.4	-0.37281	627.05	0.19627	0.021498	0.00097493	1025.7	1.2020	1.6871	202.12	21.636	30.104	145.14	341.94	4.4210	0.0048208
58.537	0.00049469	40.264	0.024836	-5.9721	-5.9721	70.904	35.423	53.498	1131.1	-0.37252	621.78	0.19604	0.021453	0.0010170	983.27	1.2055	1.6919	201.83	21.655	30.126	145.34	335.72	4.4345	0.0048375
58.704	0.00051736	40.241	0.024850	-5.9632	-5.9632	71.056	35.348	53.503	1130.8	-0.37224	616.56	0.19580	0.021407	0.0010606	942.83	1.2089	1.6967	201.54	21.673	30.148	145.53	329.58	4.4481	0.0048542
58.871	0.00054093	40.219	0.024864	-5.9543	-5.9543	71.208	35.276	53.509	1130.5	-0.37195	611.40	0.19556	0.021361	0.0011058	904.30	1.2123	1.7015	201.25	21.691	30.170	145.73	323.51	4.4616	0.0048709
59.038	0.00056541	40.196	0.024878	-5.9453	-5.9453	71.360	35.206	53.515	1130.1	-0.37167	606.31	0.19533	0.021316	0.0011526	867.57	1.2158	1.7063	200.96	21.709	30.192	145.92	317.53	4.4751	0.0048876
59.205	0.00059085	40.173	0.024892	-5.9364	-5.9364	71.511	35.138	53.520	1129.7	-0.37139	601.27	0.19509	0.021270	0.0012011	832.56	1.2192	1.7111	200.68	21.728	30.214	146.12	311.62	4.4886	0.0049044
59.372	0.00061726	40.150	0.024906	-5.9275	-5.9274	71.662	35.071	53.526	1129.3	-0.37112	596.29	0.19485	0.021224	0.0012513	799.17	1.2226	1.7159	200.40	21.746	30.237	146.31	305.79	4.5021	0.0049211
